method,model,auc
real,Logistic Regression,0.724579652115884
real,Random Forest,0.7034715875295585
real,XGBoost,0.7192990091540815
ctgan,Logistic Regression,0.6406406406406406
ctgan,Random Forest,0.6245520883202043
ctgan,XGBoost,0.6251759005382194
kanon,Logistic Regression,0.7156721939330635
kanon,Random Forest,0.6779678228953593
kanon,XGBoost,0.6249727988858423
diffusion,Logistic Regression,0.7242024633328982
diffusion,Random Forest,0.6971899435667552
diffusion,XGBoost,0.6870493682087885
noise,Logistic Regression,0.7235206220713466
noise,Random Forest,0.7117262189725956
noise,XGBoost,0.7094050572311442
